e,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TAMIL NADU,1966,16,1.6,11.9,33.4,51.8,51.6,76.4,143.4,166.1,290.6,224.3,99.8
TAMIL NADU,1967,28.9,1,40.4,19.3,47.6,69.1,69.4,81.2,76.2,182.3,127.1,156.7
TAMIL NADU,1968,4.6,5.6,36.5,85.9,46.9,47.9,53.7,65,137.7,111.8,121.1,72.7
TAMIL NADU,1969,1.5,7.2,3.5,32.1,57,30.4,60.9,139.7,36.8,275.1,190.5,127.1
TAMIL NADU,1970,15.9,18,9.2,61.8,85.4,51.6,88.9,98.5,102.4,195.1,199.9,15.3
TAMIL NADU,1971,19.3,11.1,37.8,40.6,75.7,46.9,87.2,127.8,109,221.3,71.3,199.6
TAMIL NADU,1972,4,1.2,1,14,151.1,55.1,49.2,42.7,175.3,273.1,126,200.6
TAMIL NADU,1973,0.3,0.2,5.3,20.7,57,63.5,92.3,87.6,130.4,195.2,79.1,127.1
TAMIL NADU,1974,0.6,8.9,6.7,30.4,59.5,40.6,79.8,63.5,178,114.8,47.8,22.2
TAMIL NADU,1975,6,4.3,34.8,20.8,80.8,46.8,129.1,121.3,147.8,165.3,130.3,36.4
TAMIL NADU,1976,1.2,0.2,8.4,50.1,33.8,48.6,64,129.9,83.7,137.6,244.9,56.6
TAMIL NADU,1977,1.4,24.8,10.4,45.5,104.1,50.6,55.4,128.3,118.6,347.5,346.8,12.6
TAMIL NADU,1978,1.4,11.2,10.9,35.9,55.2,29.4,78.2,55.4,137.2,151.4,234.6,198.1
TAMIL NADU,1979,0.7,43.5,12.5,15.3,35.1,60.2,75.2,80.2,183.1,132.6,416.7,48.2
TAMIL NADU,1980,0.1,0,15.4,45.9,69.2,37.7,64.9,64.2,76.3,122.3,166.2,47
TAMIL NADU,1981,8.9,1.3,21.7,23.7,87.2,57,117,91.8,200.5,258,106.4,72.5
TAMIL NADU,1982,0.2,0.1,8.6,25.2,58.8,49.8,52.5,44.5,93.4,114,200.8,30.9
TAMIL NADU,1983,0.2,0.2,1.9,5.5,86.9,72.9,77.9,132,154.6,138.7,94.5,242.6
TAMIL NADU,1984,34.5,131.3,101.7,45.4,21.6,43.6,149.5,38,151.3,134.8,113.5,58.5
TAMIL NADU,1985,89.7,5.2,11.9,43.9,33.4,108.8,81.2,129.7,161.6,107.3,233.3,57.4
TAMIL NADU,1986,65.5,39,16.1,20.9,62.7,63.4,66.9,115.2,142.3,170.5,133.4,57.1
TAMIL NADU,1987,8,1.2,28.7,20,50.5,70.5,26.1,82.8,127,236.7,136.9,175
TAMIL NADU,1988,0.2,3.8,27.4,94.6,59.1,41.1,102.6,149.8,136.1,71.8,117.6,33.1
TAMIL NADU,1989,2.7,0,27.9,40.8,53.6,57.4,154.9,39.7,137.3,148.6,154,39.8
TAMIL NADU,1990,84.8,10.2,36.2,24.3,94.9,28.9,40,80.1,119.6,194.1,144,46.1
